name,prechk/wasm_dyn,sem(prechk/wasm_dyn),no_checks/wasm_dyn,sem(no_checks/wasm_dyn),wasm_vm/wasm_dyn,sem(wasm_vm/wasm_dyn)
correlation,0.6820489660811284,0.00751124753340537,0.6963145388077795,0.013515419979969185,0.776279644627559,0.008764322608775408
covariance,0.6861142394884808,0.004534346919192619,0.6935326562132258,0.00492563886004864,0.777146691640864,0.005203268878862334
2mm,0.41386500386228864,0.005972262506595231,0.4091490464980615,0.0047787513555959844,0.39715701834180206,0.0058559055459097885
3mm,0.40215165367165123,0.006191947856233003,0.40250806883157136,0.006867803783239976,0.35807253025035396,0.0031453073387209115
atax,0.8977597957584175,0.05263150328847593,0.7768885643547324,0.03862936722271099,0.7158464802887434,0.022285160344324685
bicg,0.6461927267353454,0.027624529302907506,0.6737055222543805,0.03203339384542489,0.6418437726516747,0.02662426649322743
doitgen,0.4252362134747597,0.005426724255077495,0.43403562353291575,0.005426473314674602,0.41124946619660646,0.004936785717543027
mvt,0.7755307044906735,0.02227357505238435,0.7796463260616481,0.03904731709750356,0.7332424251518584,0.004531471085476671
gemm,0.31440294730506985,0.0010427076232069291,0.311898748830621,0.0014218795869549372,0.3066913796365309,0.001382432058148161
gemver,0.6470125726749023,0.037377515855981404,0.5568280020137858,0.023116749530336562,0.5571153571363265,0.023094377411316185
gesummv,0.9996192538205052,0.05463627496639322,0.9324301347840681,0.044152021782886755,0.9019242448366946,0.042503479208922564
symm,0.50027124794508,0.005387545257920698,0.4921327864468644,0.004711628854364438,0.514929263246233,0.006758012580855231
syr2k,0.47819545081057624,0.006092991177603692,0.4749705565929577,0.005447037972362506,0.5119790127258976,0.005681570891554852
syrk,0.38876172622224564,0.020544859256832405,0.3711176086739723,0.0037089550617736768,0.3557914468649681,0.003908675776136276
trmm,0.5884735281488931,0.005409905301361957,0.5972033490417517,0.005351804768414594,0.6083607492945609,0.008173052362789125
cholesky,0.58039173339211,0.0030499313584957644,0.5812470420172473,0.0028061292800468708,0.5732843592624046,0.004642338837179128
durbin,0.6022191953450988,0.06065919106990643,0.4298832673527388,0.04319655301394484,0.406122572655742,0.04471612789126164
gramschmidt,0.7711223478131243,0.007427256011613225,0.7762107776296157,0.008048787359722304,0.8788530939280697,0.009368078684541844
lu,0.5553965843721461,0.005342898821260754,0.5609081836303329,0.004553851008923174,0.5512924423742851,0.004378806360978325
ludcmp,0.5701213659788574,0.00469169216455847,0.5330573006754249,0.0029603865942594548,0.5599634856829414,0.003550816261413928
trisolv,0.8576377400769157,0.03763909705809618,0.8496597593477755,0.03484554426639494,0.880496041160526,0.03528903268598633
nussinov,0.4731001609614171,0.01127564471116488,0.4744898556474811,0.01089752941092981,0.5600211072122888,0.013512542078234057
adi,0.5278920762058144,0.006044126885119502,0.5318846985713249,0.0063858788934784165,0.565101675128896,0.00643745913000296
fdtd-2d,0.35170874343241193,0.003371035817650734,0.34605593503622417,0.002895639285211297,0.36451575407762293,0.003630880388396639
heat-3d,0.34579479487659043,0.0008145939371454251,0.3472385812248292,0.00287586796177182,0.3442161470720679,0.0009810615230735073
jacobi-1d,0.5964426557476697,0.007693570800008669,0.5772465128278964,0.004467601448007841,0.5484522632795156,0.002282070691798273
jacobi-2d,0.3674245997656533,0.004814591583711582,0.3632350180557901,0.004638497449963782,0.3806633313793502,0.005298078112614933
seidel-2d,0.9375102412548398,0.0006145482790006923,0.9369417593606542,0.0005723133902034083,0.9363975797840134,0.00048573366703684234
deriche,0.8797421207413185,0.007380559585256848,0.8495155094535172,0.007444768569581749,0.9422076203163178,0.00644604221731498
floyd-warshall,0.3189998670220611,0.0008892138698031617,0.3208024627692243,0.0011168112839146235,0.32384064264337903,0.00097535645266397
